BestJobIDOrdering,GeneID,StoreKey,KMsBetweenPoints,Priority,HoursToTarget,faultid,KPIAchievedDueToModel,BenchMarkDate,KPITargetDate_x,BenchMarkName
1,66,4139,0.0,Medium,-808,5640365,0.0,2018-07-01 00:00:01,2018-05-28 12:29:00.000,2018_07_01_040000
1,340,5337,11.924068915103135,Medium,-307,5675289,0.0,2018-07-03 00:00:01,2018-06-20 09:35:00.000,2018_07_03_040000
2,287,2969,82.03912991163267,Medium,-1145,5623489,0.0,2018-07-03 00:00:01,2018-05-16 11:18:00.000,2018_07_03_040000
1,361,4139,0.0,Medium,30,5699205,1.0,2018-07-04 00:00:01,2018-07-05 10:26:00.000,2018_07_04_040000
2,363,3344,2.5060008991329283,Medium,33,5699742,1.0,2018-07-04 00:00:01,2018-07-05 13:29:00.000,2018_07_04_040000
1,365,3358,3.4092187417729103,Medium,34,5701663,1.0,2018-07-05 00:00:01,2018-07-06 14:06:00.000,2018_07_05_040000
2,362,3321,11.673023264017484,Medium,6,5699254,1.0,2018-07-05 00:00:01,2018-07-05 10:39:00.000,2018_07_05_040000
1,366,3344,2.5060008991329283,Medium,81,5703314,1.0,2018-07-06 00:00:01,2018-07-09 13:17:00.000,2018_07_06_040000
1,30,1148,2.782813171416441,Low,-125,982852,0.0,2018-07-10 00:00:01,2018-07-04 23:59:59.000,2018_07_10_040000
2,367,4075,10.470915268284255,Medium,4,5704299,1.0,2018-07-10 00:00:01,2018-07-10 08:12:00.000,2018_07_10_040000
3,364,5337,5.5176925712279985,Low,78,5701179,1.0,2018-07-10 00:00:01,2018-07-13 10:38:00.000,2018_07_10_040000
1,370,4139,0.0,Medium,32,5710124,1.0,2018-07-11 00:00:01,2018-07-12 12:14:00.000,2018_07_11_040000
2,371,4139,0.0,Medium,34,5710485,1.0,2018-07-11 00:00:01,2018-07-12 14:29:00.000,2018_07_11_040000
3,30,3357,5.898053503503648,Low,571,1022629,1.0,2018-07-11 00:00:01,2018-08-03 23:59:59.000,2018_07_11_040000
4,368,3357,0.0,Medium,28,5708018,1.0,2018-07-11 00:00:01,2018-07-12 08:25:00.000,2018_07_11_040000
5,19,5337,16.27820486988973,Low,571,1074386,1.0,2018-07-11 00:00:01,2018-08-03 23:59:59.000,2018_07_11_040000
6,360,2969,82.03912991163267,Medium,-185,5693819,0.0,2018-07-11 00:00:01,2018-07-03 11:04:00.000,2018_07_11_040000
1,372,3344,96.15271968246381,High,4,5711288,1.0,2018-07-11 00:00:01,2018-07-11 12:49:00.000,2018_07_11_084900
2,24,3344,0.0,Low,567,1060860,1.0,2018-07-11 00:00:01,2018-08-03 23:59:59.000,2018_07_11_084900
3,33,3344,0.0,Low,567,966890,1.0,2018-07-11 00:00:01,2018-08-03 23:59:59.000,2018_07_11_084900
4,15,3357,3.6475236571327883,Low,567,998705,1.0,2018-07-11 00:00:01,2018-08-03 23:59:59.000,2018_07_11_084900
5,16,3357,0.0,Low,567,966891,1.0,2018-07-11 00:00:01,2018-08-03 23:59:59.000,2018_07_11_084900
6,25,3357,0.0,Low,567,1060872,1.0,2018-07-11 00:00:01,2018-08-03 23:59:59.000,2018_07_11_084900
