,DoneDate,RefreshDateTime
0,2018-07-01 00:00:00,2018-07-01 04:00:00
3,2018-07-03 00:00:00,2018-07-03 04:00:00
5,2018-07-04 00:00:00,2018-07-04 04:00:00
7,2018-07-05 00:00:00,2018-07-05 04:00:00
9,2018-07-06 00:00:00,2018-07-06 04:00:00
10,2018-07-10 00:00:00,2018-07-10 04:00:00
13,2018-07-11 00:00:00,2018-07-11 04:00:00
19,2018-07-13 00:00:00,2018-07-13 04:00:00
20,2018-07-16 00:00:00,2018-07-16 04:00:00
23,2018-07-17 00:00:00,2018-07-17 04:00:00
25,2018-07-18 00:00:00,2018-07-18 04:00:00
37,2018-07-19 00:00:00,2018-07-19 04:00:00
39,2018-07-23 00:00:00,2018-07-23 04:00:00
40,2018-07-24 00:00:00,2018-07-24 04:00:00
42,2018-07-25 00:00:00,2018-07-25 04:00:00
51,2018-07-26 00:00:00,2018-07-26 04:00:00
57,2018-07-27 00:00:00,2018-07-27 04:00:00
61,2018-07-30 00:00:00,2018-07-30 04:00:00
13,2018-07-11 00:00:00,2018-07-11 08:49:00
67,2018-07-30 00:00:00,2018-07-30 13:47:00
