GeneID,JobType,ResourceKey,faultid,CalloutDateTime,StoreKey,Longitude,Latitude,Priority,KPITargetDate,EstimatedJobDuration,HoursToTarget,Priority_norm,HoursToTarget_norm
0,Current Location,2240,0,2099-12-31 00:00:00,0,145.34602989523805,-37.7242143904762,Low,2099-12-31 00:00:00,2.0,0,1.0,0.0
1,Repair,2240,5485719,2018-02-19 13:18:00,3049,145.35341,-37.757419,Low,2018-03-09 13:18:00,1.0,432,1.0,0.8571428571428571
5,Repair,2240,5479849,2018-02-12 15:33:00,3201,145.293541,-37.770955,Medium,2018-02-19 07:30:00,2.5,160,0.5,0.31746031746031744
15,Repair,2240,5439073,2018-01-19 09:20:00,3411,145.518763,-37.652998,Medium,2018-01-25 09:20:00,1.5,144,0.5,0.2857142857142857
-1,Dummy Job,2240,0,2099-12-31 00:00:00,0,0.0,0.0,Low,2099-12-31 00:00:00,3.0,0,1.0,0.0
2,Repair,2240,5481954,2018-02-13 13:27:00,3236,145.313575,-37.757644,Medium,2018-02-19 13:27:00,2.0,144,0.5,0.2857142857142857
4,Repair,2240,5489524,2018-02-19 13:17:00,3602,145.221451,-37.815655,Low,2018-03-09 13:17:00,1.5,432,1.0,0.8571428571428571
7,Repair,2240,5621534,2018-05-14 07:41:00,3219,145.314149,-37.785163,Medium,2018-05-18 07:41:00,3.0,96,0.5,0.19047619047619047
8,Repair,2240,5585915,2018-04-18 12:05:00,3219,145.314149,-37.785163,Low,2018-05-09 12:05:00,3.5,504,1.0,1.0
3,Repair,2240,5471812,2018-02-07 14:40:00,2396,145.5936078,-37.1310872,Medium,2018-02-13 14:40:00,1.5,144,0.5,0.2857142857142857
6,Repair,2240,5436557,2018-01-18 07:52:00,3201,145.293541,-37.770955,Medium,2018-01-24 07:52:00,2.5,144,0.5,0.2857142857142857
11,Repair,2240,5617899,2018-05-09 20:47:00,3602,145.221451,-37.815655,Medium,2018-05-16 07:30:00,1.0,155,0.5,0.3075396825396825
13,Repair,2240,5620722,2018-05-11 12:56:00,3236,145.313575,-37.757644,Medium,2018-05-17 12:56:00,1.0,144,0.5,0.2857142857142857
12,Repair,2240,5586436,2018-04-18 13:51:00,3236,145.313575,-37.757644,Medium,2018-04-24 13:51:00,2.0,144,0.5,0.2857142857142857
14,Repair,2240,5515446,2018-03-05 10:06:00,3236,145.313575,-37.757644,Medium,2018-03-09 10:06:00,3.5,96,0.5,0.19047619047619047
16,Repair,2240,5621866,2018-05-14 08:02:00,3411,145.518763,-37.652998,Medium,2018-05-18 08:02:00,3.0,96,0.5,0.19047619047619047
10,Repair,2240,5484259,2018-02-14 14:05:00,3602,145.221451,-37.815655,Medium,2018-02-20 14:05:00,3.0,144,0.5,0.2857142857142857
18,Repair,2240,5462030,2018-02-02 07:53:00,3411,145.518763,-37.652998,Medium,2018-02-08 07:53:00,3.5,144,0.5,0.2857142857142857
21,Repair,2240,5461058,2018-02-01 11:01:00,3219,145.314149,-37.785163,High,2018-02-02 09:01:00,2.5,22,0.0,0.04365079365079365
9,Repair,2240,5619376,2018-05-10 16:06:00,3551,145.168078,-37.762738,High,2018-05-11 13:30:00,3.5,21,0.0,0.041666666666666664
17,Repair,2240,5601680,2018-04-30 08:06:00,3411,145.518763,-37.652998,Medium,2018-05-04 08:06:00,1.5,96,0.5,0.19047619047619047
20,Repair,2240,5585855,2018-04-18 11:03:00,3219,145.314149,-37.785163,Medium,2018-04-24 11:03:00,1.5,144,0.5,0.2857142857142857
19,Repair,2240,5585868,2018-04-18 11:04:00,3219,145.314149,-37.785163,Medium,2018-04-24 11:04:00,1.0,144,0.5,0.2857142857142857
