,0,1,2,3,4,GenerationID,hierachy,cost_TimeToKPITarget,cost_Priority,cost_Distance,cost_Total
1,0,12,4,2,14,0,p,1.6190476190476188,3.5,3.0008727768607084,8.119920395908327
2,0,2,4,21,-1,0,p,1.1865079365079365,3.5,3.0085910941454754,7.695099030653412
3,0,16,2,13,-1,0,p,0.7619047619047619,3.5,3.16966975689901,7.431574518803772
4,0,12,6,4,-1,0,p,1.4285714285714284,4.0,2.974079868768034,8.402651297339464
5,0,8,10,-1,-1,0,p,1.2857142857142856,4.5,2.952913138603508,8.738627424317794
6,0,16,19,8,-1,0,p,1.4761904761904763,4.0,3.169317474578283,8.64550795076876
7,0,8,11,17,-1,0,p,1.498015873015873,4.0,3.2800468387855544,8.778062711801429
8,0,13,21,18,-1,0,p,0.6150793650793651,3.0,3.200230640875814,6.81531000595518
9,0,3,2,5,-1,0,p,0.8888888888888888,3.5,3.8370402294746233,8.225929118363513
10,0,13,17,18,-1,0,p,0.7619047619047619,3.5,3.16966975689901,7.431574518803772
11,0,13,16,7,-1,0,p,0.6666666666666666,3.5,3.1711273925861008,7.337794059252768
12,0,15,-1,21,-1,0,p,0.32936507936507936,3.5,3.2026485597924994,7.032013639157579
13,0,18,-1,-1,-1,0,p,0.2857142857142857,4.5,3.167859838891193,7.9535741246054785
14,0,9,19,8,-1,0,p,1.3273809523809523,3.5,3.008986388285443,7.836367340666396
15,0,6,16,8,-1,0,p,1.4761904761904763,4.0,3.172011773142012,8.648202249332488
16,0,21,14,-1,-1,0,p,0.23412698412698413,3.5,2.9059285972573834,6.640055581384368
17,0,4,3,-1,-1,0,p,1.1428571428571428,4.5,3.903370889736637,9.54622803259378
18,0,2,-1,12,-1,0,p,0.5714285714285714,4.0,2.9557419568249257,7.527170528253497
19,0,14,2,20,-1,0,p,0.7619047619047619,3.5,2.9059285972573834,7.167833359162145
20,0,15,17,14,-1,0,p,0.6666666666666666,3.5,3.16966975689901,7.336336423565677
21,0,10,2,17,-1,0,p,0.7619047619047619,3.5,3.245759056467609,7.507663818372371
22,0,20,1,11,18,0,p,1.7361111111111112,3.5,3.1740662162256186,8.41017732733673
23,0,10,-1,-1,-1,0,p,0.2857142857142857,4.5,2.918395677468366,7.704109963182652
24,0,7,9,-1,-1,0,p,0.23214285714285712,3.5,3.008986388285443,6.741129245428301
25,0,18,20,21,-1,0,p,0.615079365079365,3.0,3.169317474578283,6.7843968396576475
26,0,4,19,18,-1,0,p,1.4285714285714284,4.0,3.2472151822219377,8.675786610793367
27,0,6,15,21,-1,0,p,0.615079365079365,3.0,3.172011773142012,6.787091138221378
28,0,4,-1,7,-1,0,p,1.0476190476190474,4.5,2.9531843983696726,8.50080344598872
29,0,-1,17,5,-1,0,p,0.5079365079365079,4.0,3.1705541374549213,7.678490645391429
30,0,16,15,2,-1,0,p,0.7619047619047619,3.5,3.16966975689901,7.431574518803772
